,Dst_Index_nT,Kp_10,ap_index_nT
2025-12-08 09:17:07.566492,0.115431346,-0.05921305,-0.06193696
2025-12-08 10:17:07.566492,0.113740996,-0.045662962,-0.0322768
2025-12-08 11:17:07.566492,0.119035564,-0.038597092,-0.03885924
2025-12-08 12:17:07.566492,0.13619861,-0.04392948,-0.025978021
2025-12-08 13:17:07.566492,0.1251325,-0.0569928,-0.054318108
2025-12-08 14:17:07.566492,0.12393935,-0.06652329,-0.048754446
2025-12-08 15:17:07.566492,0.11804023,-0.055158846,-0.04553385
2025-12-08 16:17:07.566492,0.10951212,-0.04380235,-0.035871983
2025-12-08 17:17:07.566492,0.12686814,-0.04882589,-0.03509903
2025-12-08 18:17:07.566492,0.12321041,-0.040159494,-0.040792547
2025-12-08 19:17:07.566492,0.110658504,-0.03660047,-0.02901674
2025-12-08 20:17:07.566492,0.11113203,-0.04321816,-0.031937964
2025-12-08 21:17:07.566492,0.10420846,-0.03438977,-0.038298286
2025-12-08 22:17:07.566492,0.110427886,-0.047264703,-0.0434386
2025-12-08 23:17:07.566492,0.11061145,-0.049746245,-0.044291854
2025-12-09 00:17:07.566492,0.118409604,-0.05796422,-0.04118921
2025-12-09 01:17:07.566492,0.109608285,-0.054593682,-0.040850163
2025-12-09 02:17:07.566492,0.10211217,-0.04155679,-0.04396706
2025-12-09 03:17:07.566492,0.11774541,-0.037745535,-0.04086791
2025-12-09 04:17:07.566492,0.11223835,-0.028719515,-0.036228478
2025-12-09 05:17:07.566492,0.10958106,-0.03455986,-0.02825144
2025-12-09 06:17:07.566492,0.10617839,-0.04114382,-0.017850459
2025-12-09 07:17:07.566492,0.11287824,-0.021548778,-0.005788557
2025-12-09 08:17:07.566492,0.111967765,-0.023670621,-0.0026352182
2025-12-09 09:17:07.566492,0.10002627,-0.0057201684,0.002313204
2025-12-09 10:17:07.566492,0.10201555,-0.00462272,0.011105649
2025-12-09 11:17:07.566492,0.09448932,-0.015210755,-0.019834347
2025-12-09 12:17:07.566492,0.0927929,-0.013369925,0.0031827316
2025-12-09 13:17:07.566492,0.106118366,-0.018822916,-0.024268456
2025-12-09 14:17:07.566492,0.10147741,-0.020055003,-0.030174427
2025-12-09 15:17:07.566492,0.117505215,-0.029170588,-0.028190926
2025-12-09 16:17:07.566492,0.10986287,-0.016376533,-0.005460046
2025-12-09 17:17:07.566492,0.12275083,-0.019502088,-0.010835126
2025-12-09 18:17:07.566492,0.11210643,-0.024028122,-0.020327397
2025-12-09 19:17:07.566492,0.10877124,-0.013438411,-0.010510124
2025-12-09 20:17:07.566492,0.12382431,-0.011575751,-0.01161135
2025-12-09 21:17:07.566492,0.13213938,-0.014120117,-0.021254927
2025-12-09 22:17:07.566492,0.10495405,0.010109536,0.015528813
2025-12-09 23:17:07.566492,0.10188947,0.022073701,0.02483797
2025-12-10 00:17:07.566492,0.103208214,0.009774439,0.02924823
2025-12-10 01:17:07.566492,0.10202185,0.00929945,0.011161417
2025-12-10 02:17:07.566492,0.09677214,0.0022038147,0.008766085
2025-12-10 03:17:07.566492,0.08701707,0.024265438,0.029906098
2025-12-10 04:17:07.566492,0.08431321,0.0161307,0.006709382
2025-12-10 05:17:07.566492,0.094534315,0.0018282235,0.006173618
2025-12-10 06:17:07.566492,0.09811575,-0.008931741,-0.009629093
2025-12-10 07:17:07.566492,0.10118303,-0.0019211322,-4.3682754e-05
2025-12-10 08:17:07.566492,0.092569835,-0.022742413,-0.0135373175
2025-12-10 09:17:07.566492,0.09947373,-0.007346764,-0.011723191
2025-12-10 10:17:07.566492,0.09381105,-0.002476588,-0.0051072687
2025-12-10 11:17:07.566492,0.09248558,0.0011290535,-0.0062223077
2025-12-10 12:17:07.566492,0.09997318,0.0005386397,-0.0006106347
2025-12-10 13:17:07.566492,0.085091814,0.0026321262,0.00413242
2025-12-10 14:17:07.566492,0.08717487,-0.0046499297,-0.012296289
2025-12-10 15:17:07.566492,0.08459604,0.0014990419,0.015086718
2025-12-10 16:17:07.566492,0.08268078,0.008423239,0.008656874
2025-12-10 17:17:07.566492,0.0870685,0.01878681,0.008092724
2025-12-10 18:17:07.566492,0.07946673,0.01135917,0.013047673
2025-12-10 19:17:07.566492,0.08363898,0.014219001,0.020179965
2025-12-10 20:17:07.566492,0.07946532,0.02064842,0.011976693
2025-12-10 21:17:07.566492,0.060332075,0.02060584,0.034263242
2025-12-10 22:17:07.566492,0.056543373,0.027888477,0.031580407
2025-12-10 23:17:07.566492,0.06706739,0.015859485,0.013284169
2025-12-11 00:17:07.566492,0.058532074,0.006316848,0.0070017874
